Date,Mkt-RF,SMB,HML,RF
1-Jan-90,-7.85,-1.29,0.87,0.57
1-Feb-90,1.11,1.03,0.61,0.57
1-Mar-90,1.83,1.52,-2.9,0.64
1-Apr-90,-3.36,-0.5,-2.55,0.69
1-May-90,8.42,-2.57,-3.74,0.68
1-Jun-90,-1.09,1.43,-1.94,0.63
1-Jul-90,-1.9,-3.21,-0.01,0.68
1-Aug-90,-10.15,-3.58,1.58,0.66
1-Sep-90,-6.12,-3.67,0.73,0.6
1-Oct-90,-1.92,-5.51,0.22,0.68
1-Nov-90,6.35,0.33,-3.16,0.57
1-Dec-90,2.46,0.79,-1.54,0.6
1-Jan-91,4.69,3.79,-1.84,0.52
1-Feb-91,7.19,3.95,-0.54,0.48
1-Mar-91,2.65,3.89,-1.23,0.44
1-Apr-91,-0.28,0.5,1.42,0.53
1-May-91,3.65,-0.34,-0.57,0.47
1-Jun-91,-4.94,0.07,1.21,0.42
1-Jul-91,4.24,-0.93,-1.25,0.49
1-Aug-91,2.32,1.59,-0.78,0.46
1-Sep-91,-1.59,1.63,-1,0.46
1-Oct-91,1.29,0.9,-0.43,0.42
1-Nov-91,-4.19,-0.48,-1.93,0.39
1-Dec-91,10.84,-2.24,-4.03,0.38
1-Jan-92,-0.59,8.47,4.51,0.34
1-Feb-92,1.09,0.88,6.37,0.28
1-Mar-92,-2.66,-1.03,3.65,0.34
1-Apr-92,1.07,-6.12,4.31,0.32
1-May-92,0.3,0.39,1.28,0.28
1-Jun-92,-2.34,-3.09,3.4,0.32
1-Jul-92,3.77,-0.44,-0.53,0.31
1-Aug-92,-2.38,-0.12,-1.03,0.26
1-Sep-92,1.19,0.56,-0.21,0.26
1-Oct-92,1.02,2.05,-2.1,0.23
1-Nov-92,4.13,3.7,-1.48,0.23
1-Dec-92,1.53,1.64,2.52,0.28
1-Jan-93,0.93,2.03,5.87,0.23
1-Feb-93,0.12,-3.43,6.42,0.22
1-Mar-93,2.3,0.23,1.22,0.25
1-Apr-93,-3.05,-0.7,2.61,0.24
1-May-93,2.89,1.96,-3.41,0.22
1-Jun-93,0.31,-0.31,2.62,0.25
1-Jul-93,-0.34,0.93,3.24,0.24
1-Aug-93,3.71,0.32,-0.45,0.25
1-Sep-93,-0.12,3.11,-0.45,0.26
1-Oct-93,1.41,1.45,-1.54,0.22
1-Nov-93,-1.89,-1.43,-0.27,0.25
1-Dec-93,1.65,1.22,0.57,0.23
1-Jan-94,2.87,0.14,2.09,0.25
1-Feb-94,-2.55,2.73,-1.44,0.21
1-Mar-94,-4.78,-0.98,1.31,0.27
1-Apr-94,0.68,-0.93,1.68,0.27
1-May-94,0.58,-2.02,0.2,0.31
1-Jun-94,-3.03,-0.45,1.7,0.31
1-Jul-94,2.82,-1.73,0.59,0.28
1-Aug-94,4.01,1.34,-2.82,0.37
1-Sep-94,-2.31,2.82,-1.9,0.37
1-Oct-94,1.34,-2.34,-1.73,0.38
1-Nov-94,-4.04,0.27,-0.94,0.37
1-Dec-94,0.86,0.04,0.55,0.44
1-Jan-95,1.8,-2.65,0.83,0.42
1-Feb-95,3.63,-0.67,1.08,0.4
1-Mar-95,2.19,-0.7,-1.07,0.46
1-Apr-95,2.11,-0.62,2.26,0.44
1-May-95,2.9,-2.2,1.69,0.54
1-Jun-95,2.72,2.93,-2.27,0.47
1-Jul-95,3.72,2.09,-1.68,0.45
1-Aug-95,0.55,1.6,2.71,0.47
1-Sep-95,3.35,-2.1,-0.76,0.43
1-Oct-95,-1.52,-3.74,-0.75,0.47
1-Nov-95,3.96,-1.17,0.94,0.42
1-Dec-95,1.03,0.57,0.86,0.49
1-Jan-96,2.26,-2.62,0.3,0.43
1-Feb-96,1.33,1.88,-1.42,0.39
1-Mar-96,0.73,1.3,1,0.39
1-Apr-96,2.06,4.92,-3.9,0.46
1-May-96,2.36,3.04,-1.2,0.42
1-Jun-96,-1.14,-3.58,1.56,0.4
1-Jul-96,-5.97,-3.83,4.45,0.45
1-Aug-96,2.77,2.3,-0.46,0.41
1-Sep-96,5.01,-0.88,-3.14,0.44
1-Oct-96,0.86,-4.44,5.12,0.42
1-Nov-96,6.25,-3.89,1.16,0.41
1-Dec-96,-1.7,3.2,0.9,0.46
1-Jan-97,4.98,-1.84,-1.64,0.45
1-Feb-97,-0.49,-2.9,5.19,0.39
1-Mar-97,-5.02,-0.38,3.81,0.43
1-Apr-97,4.04,-5.66,-0.07,0.43
1-May-97,6.74,4.89,-3.87,0.49
1-Jun-97,4.1,1.32,1.23,0.37
1-Jul-97,7.33,-2.8,0.84,0.43
1-Aug-97,-4.15,7.31,1.38,0.41
1-Sep-97,5.35,2.61,0.02,0.44
1-Oct-97,-3.8,-0.68,1.96,0.42
1-Nov-97,2.98,-4.94,0.78,0.39
